Region,2017,2018,2019,2020,2021
Akmola Region,70.8,71.6,71.43,70.09,68.86
Aktobe Region,73.47,73.45,73.58,71.69,70.83
Almaty Region,72.7,73.44,73.41,71.73,70.53
Atyrau Region,73.22,73.13,73.27,70.52,70.01
West Kazakhstan Region,72.38,72.43,72.81,70.87,69.69
Jambyl Region,72.43,72.79,72.63,70.63,69.15
Karaganda Region,71.57,71.7,71.69,70.38,69.14
Kostanay Region,72.2,72.36,72.42,70.72,69.29
Kyzylorda Region,72.6,72.98,72.79,70.15,70.83
Mangystau Region,74.34,73.73,74.14,71.1,70.57
Pavlodar Region,72.1,72.31,72.33,70.75,68.93
North Kazakhstan Region,70.86,71.14,70.7,69.9,68.57
South Kazakhstan Region,72.45,72.95,72.73,70.67,70.18
East Kazakhstan Region,71.97,71.97,72.07,70.85,69.33
Astana,76.21,76.21,76.75,73.49,72.87
Almaty,76.01,75.54,75.45,74.02,71.97